ID,Edad,Sexo,NED,NumBancos,NumFinanc,TDSR,C6M,AumDeu,PI,Cont,Vigen,Ingreso,Default
1,38,F,TT,0,0,21.02,1C,0.0349,0,21648,81429.33761,111136.0974,B
2,59,F,PNT,0,0,13.27,1C,0.0449,0,185479,152695.9788,31017.76505,B
3,40,F,ST,1,1,8.28,1C,0.028,1,127278,88594.59916,27935.69271,B
4,35,F,TNT,2,0,16.08,1C,0.0702,1,358502,93783.2967,49003.77559,B
5,36,F,ST,1,1,34.42,2A,0.0036,0,28026,201497.7643,45473.3207,M
6,21,M,TT,2,0,46.69,4,-0.051,0,221382,335253.5017,51014.08974,B
7,39,M,TT,1,2,36.91,1C,-0.0543,1,244647,504954.3251,50926.59718,B
8,47,M,TNT,0,0,19.65,1C,-0.1082,0,184212,131407.8817,55414.49544,B
9,32,M,ST,3,3,20.36,1C,-0.2116,0,186268,448479.3018,48056.61363,B
10,44,M,TNT,2,1,149.79,4,0.0917,0,68641,349330.0475,59067.55629,M
11,32,M,TT,0,0,24.46,1C,0.0761,0,408271,203395.1546,132123.0685,B
12,37,F,TT,0,1,53.48,2B,-0.0721,0,14411,437447.6616,89486.7542,M
13,35,M,TNT,2,2,92.87,1C,0.1233,0,352866,17749.37499,39155.0852,M
14,31,M,PT,2,1,129.36,1C,0.0103,0,207640,171074.0738,18046.73197,M
15,55,M,TNT,2,1,29.15,4,0.113,1,1863,39644.07225,232506.6943,B
16,45,M,TT,2,0,6.15,2A,0.0692,0,113610,885465.8681,111703.1055,B
17,60,M,ST,2,2,15.1,1C,0.1343,0,34348,351133.2918,52910.70173,B
18,45,M,PT,4,3,138.19,1C,0.1917,0,212228,285229.4342,32882.17072,B
19,29,M,TNT,2,1,21.39,1C,-0.0021,1,680926,217427.6842,26281.77821,B
20,37,M,ST,3,3,117.6,1C,-0.0276,0,39331,96429.78547,53971.68004,B
21,48,M,TT,0,0,20.03,1C,-0.0035,0,148661,201252.8127,86566.1995,B
22,38,F,TNT,2,3,44.24,1C,0.1015,0,41402,303115.2369,46112.20276,M
23,47,M,TT,3,2,119.34,1C,0.1311,0,20747,683879.8501,173540.7475,B
24,52,M,TNT,4,0,15.59,1C,-0.033,0,181296,133153.3057,126859.9841,B
25,39,F,SNT,0,1,36.05,1C,-0.0512,0,80483,439881.1675,36317.17432,M
26,39,M,ST,3,0,18.13,1C,0.2171,0,223202,133165.1939,37140.32425,B
27,39,F,ST,2,2,22.8,2A,0.1595,0,489393,258090.197,43851.5884,M
28,47,M,PNT,2,0,8.09,1C,0.128,0,78336,3923.931949,22325.41589,B
29,53,M,TT,2,0,149.52,5,0.1205,0,27428,62101.876,228129.9154,M
30,45,F,SNT,0,0,53.67,1C,-0.0726,0,152997,182452.6339,30833.00169,B
31,51,M,TT,2,0,7.28,1C,0.14,0,184242,1430658.224,122693.6401,B
32,25,M,PT,0,1,39.13,1C,-0.015,1,360994,237438.2165,18570.74787,B
33,44,M,TT,1,1,151.87,1A,0.098,0,71177,112783.2984,83422.15757,B
34,26,M,SNT,4,0,16.03,1A,0.1106,1,108986,512935.9222,22182.36807,B
35,51,M,PNT,0,1,32.26,3,0.2501,1,171230,20244.03955,30184.23496,B
36,39,M,TNT,2,1,14.92,1C,-0.1864,0,402539,355579.722,35028.64714,B
37,46,M,TT,2,0,33.25,4,0.0615,0,162815,466592.1651,139747.1737,M
38,20,M,SNT,2,0,3.5,1C,0.0913,0,15665,213738.7371,22024.01735,B
39,39,M,SNT,0,0,41.74,3,-0.0055,0,104200,435905.1583,40629.08777,B
40,41,M,TNT,2,1,77.18,2A,-0.0717,1,32819,357051.8966,66553.57606,B
41,32,F,SNT,1,2,71.95,1C,0.0507,0,297604,272219.995,21551.94618,M
42,26,M,SNT,3,3,29.64,1C,0.0362,0,109355,197233.3034,18084.65754,M
43,30,M,TNT,3,3,60.1,1C,0.0231,0,349347,18889.63306,46337.61507,B
44,39,M,ST,0,1,7.55,2A,-0.0506,0,107377,140037.0058,68107.54473,M
45,32,M,ST,1,3,19.08,3,-0.0223,0,370412,661663.6958,28022.68582,M
46,21,F,TNT,4,1,11.49,1C,-0.0322,0,14715,403605.4127,29905.28556,B
47,40,M,TT,0,0,2.42,1C,-0.1011,0,223715,264227.9423,269724.9777,B
48,42,M,ST,0,0,27.14,1C,0.1478,0,251511,93425.43392,52594.53299,B
49,39,F,SNT,2,2,10.82,2B,-0.1284,0,75753,707403.9639,20106.2288,M
50,34,M,TT,0,0,11.63,3,-0.0346,0,60468,379878.3848,97000.84914,B
51,52,F,TNT,1,2,99.72,2B,0.1209,0,48652,56750.03997,196317.2633,M
52,29,M,PT,2,2,25.77,1C,0.2199,0,502419,47533.59957,18066.33217,M
53,54,F,ST,2,2,9.69,4,0.1001,0,190542,22230.42969,54081.64388,M
54,41,M,TT,1,3,12.41,1A,0.134,1,26297,77509.84332,264544.7986,B
55,54,F,ST,2,2,36.22,2A,-0.0067,0,49170,315658.2834,86377.18071,M
56,34,M,SNT,3,2,23.49,2A,0.0434,0,89608,929623.6177,18166.70831,M
57,30,M,SNT,3,3,44.4,1C,-0.0842,0,304923,461171.723,34683.9199,B
58,43,M,TNT,4,0,7.44,2B,0.0899,0,283101,105676.5741,114943.6575,B
59,35,M,TNT,3,0,2.76,1C,0.0853,1,764057,510130.3668,26950.482,B
60,37,F,TNT,2,0,22.31,4,0.1714,0,341619,87921.83333,45905.6388,M
61,32,M,SNT,1,1,5.25,2B,0.0889,1,1566619,1076246.993,27765.23976,M
62,52,M,TT,3,1,7.31,2A,0.0799,0,327116,6342.988436,57024.95907,B
63,33,F,TT,0,0,47.87,5,-0.2011,0,92125,229402.0708,78773.52841,M
64,26,M,TNT,2,2,27.52,2B,0.163,0,109503,46894.5482,46474.23488,M
65,28,M,TNT,1,1,17.49,1C,-0.1373,1,104611,680630.0241,46987.85331,B
66,44,F,SNT,0,0,23.69,1C,0.0341,0,244522,439784.455,30604.54682,B
67,28,F,TNT,2,0,36.52,1C,-0.0997,0,268826,673808.2395,50054.40279,B
68,48,F,TT,2,1,14.2,1A,0.2363,0,148134,129712.9391,106465.6424,B
69,37,M,TNT,2,2,23.33,1C,0.1169,0,650231,857878.9782,45186.61291,M
70,48,M,TNT,3,0,12.58,1C,0.0046,0,647385,104520.8743,110297.3668,B
71,63,M,TT,4,1,58.47,1C,-0.0061,0,192997,545154.3713,506850.1055,B
72,58,M,ST,4,1,33.97,1C,-0.0702,0,34188,18132.44477,326217.3167,B
73,60,M,TT,0,2,5.53,1C,-0.0774,0,20267,47838.74121,134256.4542,B
74,56,F,TT,0,1,129.23,1C,-0.0178,0,114829,527323.402,146199.4074,B
75,51,M,TT,0,3,12.28,2B,-0.2113,0,48506,69711.29972,193521.8624,B
76,36,F,ST,3,0,200.99,2A,0.0097,0,286384,548639.1757,28310.40317,M
77,44,F,ST,1,0,187.14,2A,-0.1867,0,184858,416841.5765,36681.83589,M
78,33,M,TNT,2,0,12.36,1C,0.0224,0,53009,104087.6367,62063.77537,B
79,39,F,TT,0,2,27.75,1C,-0.007,1,310696,67618.56876,100436.3686,B
80,28,M,SNT,3,1,10.44,1C,0.1358,1,160404,22471.58273,29594.53379,M
81,45,F,ST,3,1,21.85,5,-0.0144,0,546077,252910.6572,36252.19043,B
82,51,M,SNT,0,2,2.67,1C,-0.0498,0,119602,210686.0851,30422.52606,M
83,40,F,SNT,2,2,3.72,5,-0.0286,1,260070,286123.8454,29009.74308,M
84,35,M,TT,3,1,8.23,1C,0.1296,0,165987,158830.5014,48075.15098,B
85,51,M,TNT,2,0,48.06,2B,0.0012,0,121891,158986.3526,47584.03894,M
86,35,M,TNT,2,0,99.97,1C,-0.0063,0,235499,120036.0342,74007.52219,B
87,43,M,TT,0,3,25.32,1C,-0.0593,1,332595,355620.9637,88171.54207,B
88,34,M,ST,0,3,53,1C,-0.0345,0,302239,122859.2657,55559.64173,M
89,44,M,PT,0,0,3.37,1C,0.0815,0,157020,103060.4117,29801.41756,B
90,47,M,ST,2,1,85.62,2B,-0.0275,0,207393,173869.335,94195.09689,B
91,43,M,TNT,4,0,3.48,1C,-0.0524,1,247743,733453.7462,218547.3051,B
92,59,M,ST,2,0,19.81,3,0.1563,0,197915,307860.7887,123776.5811,B
93,37,M,TNT,3,1,15.34,2B,0.1667,0,337729,469674.4827,40323.32057,B
94,59,M,TNT,1,3,33.46,2B,-0.1451,0,142785,173385.4568,156030.1933,B
95,54,F,ST,3,2,23.27,1A,0.1726,0,40405,73680.80483,99371.36927,B
96,54,F,TNT,0,0,23.99,1C,0.0104,0,74626,171331.5683,115601.2812,B
97,54,M,TT,2,1,10.97,5,0.0739,0,187235,321084.6658,297279.6311,B
98,46,M,ST,0,0,27.6,2A,0.0119,0,191549,419454.715,37974.27812,B
99,29,F,PT,2,0,12.61,1C,-0.0991,0,234160,180573.3768,20023.42062,B
100,60,M,TNT,1,3,13.82,1C,0.0459,0,86197,616595.221,187393.962,B
101,34,M,TT,0,0,171.09,2A,0.0625,0,94603,262832.5825,172056.7317,M
102,42,F,ST,1,0,94.41,2B,-0.1156,0,551878,130720.1247,41391.87026,M
103,44,M,ST,2,2,16.94,3,0.0426,0,181941,192418.4757,89717.21595,M
104,62,F,ST,1,0,9.71,2B,0.0918,1,394280,74069.63822,70173.43875,B
105,54,F,TNT,4,1,16.53,3,0.0632,0,627500,196171.3512,273072.6948,B
106,42,F,TT,2,0,4.54,1A,-0.1025,1,51787,31716.6021,81526.52707,B
107,50,M,ST,1,2,23.8,2A,0.0562,0,30244,88667.31627,41737.8812,M
108,38,M,TNT,3,2,64.87,1A,0.0891,0,116172,62100.51595,61801.68292,B
109,38,F,TT,1,0,14.52,1C,0.1908,0,311959,1388086.798,109070.0059,B
110,54,M,ST,2,2,6.33,1C,-0.0122,1,233800,135354.1292,88151.88907,B
111,29,M,SNT,3,2,60.19,1C,-0.1219,0,371635,90286.4945,20105.19016,M
112,42,M,TT,1,0,21.17,3,0.0372,0,797832,894525.4745,136084.3358,B
113,23,M,TNT,0,2,38.09,1C,0.0898,0,204924,323783.1614,30335.76681,B
114,50,M,SNT,2,1,7.35,1A,-0.0666,0,87715,233846.1096,35579.65705,M
115,48,M,TNT,2,2,21.92,4,-0.0632,0,65129,128975.9753,173110.6236,M
116,35,M,ST,4,0,92.58,3,-0.0473,1,434870,406871.805,44804.49395,M
117,42,M,TT,2,0,6.85,1A,-0.0554,0,135251,48334.29735,84988.41637,B
118,45,M,ST,3,0,96.81,1A,0.0873,0,208557,111897.7516,81048.83502,B
119,43,M,PNT,3,1,3.38,1C,0.0124,1,173913,194592.6995,20236.53179,B
120,34,M,ST,2,0,11.5,5,-0.1123,1,224376,113068.6222,19651.18204,B
121,60,F,ST,3,2,23.09,1C,0.0613,0,242701,599041.8192,188486.9242,B
122,23,M,TT,2,1,10.55,5,-0.1066,0,77463,121595.8211,59744.67106,M
123,56,M,TNT,3,2,52.96,1C,0.0618,0,29735,142803.7363,183767.6631,B
124,38,M,TNT,2,2,81.82,1C,0.1536,0,204516,171757.4306,56667.01318,B
125,33,M,TT,2,1,9.26,1A,0.085,1,160431,816732.2836,48175.60038,B
126,33,M,SNT,3,2,13.15,1C,-0.0155,0,121559,314998.8591,24340.24591,B
127,30,M,ST,1,3,30.4,2A,0.094,0,306520,130659.6623,32520.73943,M
128,53,M,PT,2,1,6.33,3,-0.0294,1,169496,275542.0575,45255.95298,B
129,56,F,PT,3,0,8.65,1C,-0.0097,0,93374,52249.76129,53152.34023,B
130,50,M,SNT,2,1,8.34,2B,0.0377,0,9300,60610.18232,29240.60605,M
131,51,F,TNT,1,0,64.61,5,0.028,0,17907,321971.3628,104411.6362,M
132,39,M,TNT,2,1,107.09,4,0.0065,0,299900,115431.9442,42668.1215,M
133,50,M,TNT,2,1,52.45,1C,0.2245,0,67854,21467.55427,36712.22793,B
134,31,M,TNT,2,2,25.29,1C,0.1124,0,147208,195807.1696,45603.95068,B
135,55,F,TT,1,0,16.77,1C,-0.0212,0,26086,517000.1923,140437.0646,B
136,61,M,PT,3,1,15.68,1C,0.0713,0,25345,117927.2572,37610.48934,B
137,38,F,TNT,2,0,6.24,5,0.0947,0,202739,216033.7632,96834.25033,M
138,34,M,TT,1,1,5.78,1C,-0.0938,0,273544,222210.9384,117593.6579,B
139,32,M,SNT,2,2,3.01,4,0.0051,0,129472,310364.4244,23051.09167,M
140,39,M,SNT,2,0,9.13,3,0.014,0,71386,165151.1364,26396.6307,M
141,33,M,PT,1,2,29.16,1C,0.1558,1,129319,171658.2129,25785.62177,B
142,30,M,TT,4,0,34.72,1C,0.0078,0,110653,224316.6814,52528.51453,B
143,35,M,SNT,3,2,7.29,5,-0.015,0,277081,131298.9561,29914.67912,M
144,39,M,PT,0,0,16.99,1A,0.0459,0,322697,331042.7071,18362.34108,M
145,62,F,PT,3,0,3.62,4,0.0872,0,234634,137783.0906,34040.53265,M
146,20,F,TT,2,2,49.32,1C,0.0359,0,267499,57483.53469,39089.70036,B
147,43,M,ST,2,1,5.79,1C,-0.0243,0,31314,326035.9894,35308.76157,B
148,45,M,TT,0,2,5.05,1C,0.0736,1,1173433,626724.6082,72239.73792,B
149,58,M,PNT,2,1,41.48,5,0.0492,0,89938,12590.80131,36911.82275,M
150,22,F,ST,2,0,8.54,4,0.1983,0,402455,621703.6806,46851.4992,M
151,64,M,ST,3,3,63.95,5,-0.0243,0,84394,69297.26406,75020.1982,M
152,45,M,TNT,2,2,79.69,1C,-0.0102,1,385535,307008.7495,63695.61628,B
153,31,F,TT,3,2,6.93,1C,0.0227,0,171521,172161.7325,38733.56156,B
154,50,F,TNT,2,0,7.39,1C,-0.0395,0,663175,233571.095,115542.2027,B
155,32,M,TT,1,0,43.22,2B,-0.0291,0,71148,352355.6179,66978.29727,M
156,50,M,ST,1,1,10.48,1C,-0.2317,0,86170,327617.196,106520.7753,B
157,33,M,ST,0,1,43.75,1C,-0.0158,0,274390,209307.7224,26377.33933,B
158,38,M,ST,0,2,19.96,2B,0.1978,0,218274,321061.7809,26518.40499,M
159,42,M,ST,2,3,15.16,1C,0.0846,0,326449,338490.8625,42262.62715,B
160,51,M,ST,1,0,31.23,3,0.0405,0,111845,175366.5992,98091.73805,B
161,27,M,TNT,0,0,10.42,2B,0.0796,0,59645,256898.8958,38533.4282,M
162,32,M,PNT,0,1,35.43,4,0.1028,0,438041,41632.89435,20996.1479,M
163,44,M,TT,2,3,34.16,1C,0.1413,0,20744,35581.19505,45947.9353,B
164,56,F,TT,2,0,71.88,1C,0.1391,0,444703,186270.6666,312664.624,B
165,53,F,SNT,1,0,22.99,5,0.0255,0,104822,33526.01356,50961.572,M
166,42,M,TNT,2,0,1.02,4,-0.0461,0,179089,84971.90147,233745.0877,M
167,36,F,TNT,0,3,18.8,1C,-0.0239,0,357821,57261.2208,49588.29708,B
168,49,F,TNT,2,1,18.75,3,0.0223,0,454594,512302.6689,211638.8319,B
169,46,F,TT,2,2,15.68,2B,0.2372,0,219655,166551.3012,148534.3047,B
170,42,M,TT,3,2,9.52,2A,-0.0295,0,123493,123018.9922,55849.40044,B
171,43,M,TT,2,1,19.38,1C,0.0201,0,234982,257531.2419,125053.6265,B
172,44,M,ST,1,0,112.77,4,0.045,0,47110,184159.8276,31141.33121,M
173,44,M,PT,1,1,6.52,1C,-0.0489,0,117239,683981.5641,26790.03814,M
174,45,M,ST,3,1,44.54,1C,0.0492,0,529508,630036.8634,35381.05267,B
175,35,M,ST,2,0,2.57,1C,0.0406,0,323849,683599.6305,31985.22148,B
176,48,M,TNT,2,1,23.12,1C,0.2431,0,211343,204101.4281,55586.41143,B
177,45,M,TNT,2,2,20.74,3,0.0907,0,74868,45303.50479,149198.1462,B
178,45,M,TNT,0,3,6.58,1C,-0.1689,0,655704,810273.5038,56948.01862,M
179,50,M,TT,0,1,7.84,1C,0.0377,1,170948,116750.2532,152018.6066,B
180,34,M,SNT,4,0,26.24,1C,-0.0846,0,74626,24976.27206,26969.86376,B
181,39,M,SNT,2,1,18.11,3,0.1554,0,193974,127066.9909,29286.11017,M
182,36,M,TNT,1,0,9.16,1C,0.14,0,153152,143189.9137,60713.6912,B
183,27,M,SNT,3,0,19.25,5,0.0454,0,153268,131250.0661,29520.12787,M
184,47,M,TNT,2,0,79.55,1C,0.0605,0,155284,144358.9695,145346.2975,B
185,45,F,TT,3,3,28,1C,0.069,0,287569,35764.3685,167410.5957,B
186,30,M,TT,2,1,14.05,2B,-0.0496,1,165467,92527.15442,64021.27084,B
187,41,M,ST,4,2,11.3,1C,0.105,1,464480,338710.2385,33581.72877,B
188,39,F,TNT,4,3,23.78,1A,0.0845,0,438881,698377.2138,89212.40774,B
189,52,M,ST,0,0,15.22,4,0.1768,0,105773,669090.2232,34905.95083,M
190,40,F,ST,2,0,5.05,2A,-0.1295,0,56278,144441.1978,28546.88971,B
191,52,F,TNT,2,0,45.09,1C,0.0345,0,133643,403669.6632,60303.40303,B
192,42,M,SNT,3,0,139.54,1C,-0.1094,0,81369,215080.9853,38578.57105,B
193,47,M,SNT,2,0,17.18,1C,-0.1611,0,305015,336026.3856,71510.38935,B
194,41,M,ST,2,1,13.58,1C,-0.0329,0,26139,155292.6658,31508.02465,B
195,39,F,PT,1,3,27.1,4,0.0023,0,97128,177652.5404,25699.69147,M
196,41,M,ST,0,0,18.01,5,-0.2298,0,569527,53387.41973,70225.45547,M
197,49,M,SNT,0,1,8.54,1C,-0.0091,0,172991,151825.5262,42246.77661,B
198,47,M,TT,0,3,7.04,3,0.0502,0,192983,79585.92896,188247.5496,B
199,49,M,TT,1,2,33.67,1C,0.2769,0,699497,822702.8844,236470.6785,B
200,41,F,ST,0,1,2.47,1C,0.1091,0,158067,50677.33639,35177.21672,B
201,45,M,PNT,2,0,10.05,3,0.0289,0,98500,300467.7754,19838.94985,M
202,45,M,SNT,2,2,38.91,5,0.064,0,87970,183851.4535,35757.07071,M
203,35,M,ST,0,0,23.19,1C,0.0404,0,645040,258189.8144,27144.37124,M
204,45,F,SNT,3,0,22.78,1C,-0.0131,0,546190,290734.5523,46480.25928,B
205,43,M,SNT,3,0,56.18,4,0.0548,0,123894,754867.9002,46546.95918,M
206,37,F,SNT,0,0,15.13,1C,0.1659,0,303890,150990.4125,29483.42622,B
207,32,M,TT,3,2,34.88,1C,0.0469,0,80031,86324.85247,75881.40147,B
208,36,M,ST,2,0,49.89,1C,0.0701,1,592106,702813.3486,42928.25087,B
209,47,M,PT,3,2,12.39,2B,-0.0704,0,49035,382768.0489,39581.57451,M
210,29,M,TT,0,2,26.89,2A,0.1375,1,863840,609033.4362,117182.0235,B
211,42,M,TNT,0,2,22.25,3,-0.0375,0,74566,179224.8919,170987.0789,M
212,55,F,ST,2,3,24.23,2A,-0.0158,0,269301,391740.7683,68961.50829,B
213,46,F,ST,0,1,15.58,1C,0.1439,0,272539,25934.49466,40223.68895,B
214,34,M,SNT,3,1,33.03,4,0.0041,0,285500,542605.0154,27005.84272,M
215,45,F,SNT,1,0,27.62,2B,0.128,0,276754,155277.3528,37732.86002,B
216,51,F,ST,3,0,15.6,4,0.1835,0,425671,220219.7432,53948.12638,M
217,41,M,SNT,1,0,42.65,1C,0.2043,1,150211,212795.6298,34386.54897,B
218,37,F,ST,3,0,103.34,1C,0.0198,0,298769,794201.1231,31301.33601,B
219,38,M,PT,2,2,9.87,1C,0.0688,0,83919,103238.9169,22012.31246,B
220,48,M,TT,2,0,12.23,1A,0.0536,0,220515,773018.711,79956.88272,B
